tmdb_id,kind,title,country,platform,theatrical_release,first_seen_streaming,window_days
1744462,movie,"Grand Theft Auto VI: An Extended Look",sg,"Netflix",2026-08-27,2026-08-31,4
860508,movie,"The Whisper Man",ca,"Netflix",2026-08-27,2026-09-01,5
860508,movie,"The Whisper Man",ae,"Netflix",2026-08-27,2026-09-02,6
1750516,movie,"Pallaburusu",in,"Amazon Prime Video",2026-08-14,2026-09-02,19
290193,tv,"Mousetrap",uk,"Netflix",2026-08-28,2026-09-02,5
287238,tv,"Furious",au,"Disney Plus",2026-07-27,2026-09-02,37
1750516,movie,"Pallaburusu",ae,"Amazon Prime Video",2026-08-14,2026-09-02,19
246246,tv,"Beauty in Black",ca,"Netflix",2024-10-24,2026-09-02,678
286988,tv,"Blossom Through the Cloud",sg,"Viu",2026-08-31,2026-09-02,2
860508,movie,"The Whisper Man",us,"Netflix",2026-08-27,2026-09-03,7
332943,tv,"Part-Timers",ae,"STARZPLAY",2026-08-28,2026-09-03,6
